S.No,Hour,Car No.,Team,Drivers,Car,Category,Tyres  ,Laps,Total Time,Pitstops,Best Lap Number,Best LapTime,Best Lap Kph,Status
15,1,41,Team WRT,R. ANDRADE / L. DELÉTRAZ / R. KUBICA,Oreca 07 - Gibson,LMP2,G,12,01:02:17,1,11,03:36.4,226.7,Running 
16,1,28,JOTA,D. HEINEMEIER-HANSSON / O. RASMUSSEN / P. FITTIPALDI,Oreca 07 - Gibson,LMP2,G,12,01:02:21,1,11,03:37.3,225.7,Running 
17,1,36,Alpine Elf Team,M. VAXIVIERE / C. MILESI / J. CANAL,Oreca 07 - Gibson,LMP2,G,12,01:02:27,1,10,03:37.4,225.6,Running 
18,1,10,Vector Sport,R. CULLEN / G. AUBRY / M. KAISER,Oreca 07 - Gibson,LMP2,G,12,01:02:27,1,11,03:37.7,225.3,Running 
19,1,22,United Autosports,P. HANSON / F. ALBUQUERQUE / F. LUBIN,Oreca 07 - Gibson,LMP2,G,12,01:02:28,1,11,03:37.8,225.2,Running 
20,1,9,Prema Racing,B. VISCAAL / J. CORREA / F. UGRAN,Oreca 07 - Gibson,LMP2,G,12,01:02:29,1,10,03:37.8,225.2,Running 
21,1,3,Cadillac Racing,S. BOURDAIS / R. VAN DER ZANDE / S. DIXON,Cadillac V-Series.R,HYPERCAR,M,12,01:02:31,1,12,03:28.3,235.5,Running 
22,1,45,Algarve Pro Racing,G. KURTZ / J. ALLEN / C. BRAUN,Oreca 07 - Gibson,LMP2,G,12,01:02:32,1,9,03:38.0,225,Running 
23,1,35,Alpine Elf Team,A. NEGRÃO / O. CALDWELL / M. ROJAS,Oreca 07 - Gibson,LMP2,G,12,01:02:33,1,10,03:38.1,225,Running 
24,1,39,Graff Racing,R. LACORTE / G. VAN DER GARDE / P. PILET,Oreca 07 - Gibson,LMP2,G,12,01:02:35,1,11,03:39.0,224,Running 
25,1,30,Duqueine Team,N. JANI / R. BINDER / N. PINO,Oreca 07 - Gibson,LMP2,G,12,01:02:35,1,11,03:39.0,223.9,Running 
26,1,43,DKR Engineering,T. VAN ROMPUY / U. DE WILDE / M. MARTIN,Oreca 07 - Gibson,LMP2,G,12,01:02:37,1,12,03:38.5,224.5,Running 
27,1,31,Team WRT,S. GELAEL / F. HABSBURG / R. FRIJNS,Oreca 07 - Gibson,LMP2,G,12,01:02:39,1,10,03:39.4,223.5,Running 
28,1,34,Inter Europol Competition,J. SMIECHOWSKI / A. COSTA / F. SCHERER,Oreca 07 - Gibson,LMP2,G,12,01:02:42,1,12,03:39.5,223.5,Running 
29,1,80,AF Corse,F. PERRODO / B. BARNICOAT / N. NATO,Oreca 07 - Gibson,LMP2,G,12,01:03:13,1,12,03:44.1,218.9,Running 
30,1,14,Nielsen Racing,R. SALES / M. BECHE / B. HANLEY,Oreca 07 - Gibson,LMP2,G,12,01:03:19,1,11,03:44.6,218.4,Running 
31,1,37,COOL Racing,N. LAPIERRE / A. COIGNY / M. JAKOBSEN,Oreca 07 - Gibson,LMP2,G,12,01:03:26,1,10,03:46.1,216.9,Running 
32,1,47,COOL Racing,DE GÉRUS / V. LOMKO / S. PAGENAUD,Oreca 07 - Gibson,LMP2,G,12,01:03:27,1,10,03:37.3,225.7,Running 
33,1,23,United Autosports,J. PIERSON / T. BLOMQVIST / O. JARVIS,Oreca 07 - Gibson,LMP2,G,12,01:03:33,1,10,03:37.7,225.3,Running 
34,1,65,Panis Racing,M. MALDONADO / T. VAN DER HELM / J. VAN UITERT,Oreca 07 - Gibson,LMP2,G,12,01:03:35,1,10,03:38.1,225,Running 
35,1,24,Hendrick Motorsports,J. JOHNSON / M. ROCKENFELLER / J. BUTTON,Chevrolet Camaro ZL1,INNOVATIVE CAR,G,12,01:03:55,0,8,03:52.1,211.3,Running 
36,1,56,Project 1 - AO,P. HYETT / G. JEANNETTE / M. CAIROLI,Porsche 911 RSR - 19,LMGTE Am,M,12,01:03:57,0,11,03:51.4,211.9,Running 
37,1,60,Iron Lynx,C. SCHIAVONI / M. CRESSONI / A. PICARIELLO,Porsche 911 RSR - 19,LMGTE Am,M,12,01:03:58,0,8,03:51.4,212,Running 
38,1,54,AF Corse,T. FLOHR / F. CASTELLACCI / D. RIGON,Ferrari 488 GTE Evo,LMGTE Am,M,12,01:03:59,0,8,03:52.1,211.3,Running 
39,1,923,Racing Team Turkey,S. YOLUC / T. GAMBLE / D. VANTHOOR,Oreca 07 - Gibson,LMP2,G,12,01:04:00,1,9,03:37.6,225.4,Running 
40,1,57,Kessel Racing,T. KIMURA / S. HUFFAKER / D. SERRA,Ferrari 488 GTE Evo,LMGTE Am,M,12,01:04:04,0,8,03:52.5,211,Running 
41,1,83,Richard Mille AF Corse,L. PEREZ COMPANC / A. ROVERA / L. WADOUX,Ferrari 488 GTE Evo,LMGTE Am,M,12,01:04:05,0,8,03:52.5,211,Running 
42,1,88,Proton Competition,H. TINCKNELL / D. YOUNT / J. RIED,Porsche 911 RSR - 19,LMGTE Am,M,12,01:04:05,1,8,03:52.2,211.2,Running 
43,1,33,Corvette Racing,N. CATSBURG / B. KEATING / N. VARRONE,Chevrolet Corvette C8.R,LMGTE Am,M,12,01:04:08,1,8,03:51.3,212.1,Running 
44,1,911,Proton Competition,M. FASSBENDER / M. RUMP / R. LIETZ,Porsche 911 RSR - 19,LMGTE Am,M,12,01:04:12,1,9,03:53.2,210.4,Running 
45,1,86,GR Racing,M. WAINWRIGHT / B. BARKER / R. PERA,Porsche 911 RSR - 19,LMGTE Am,M,12,01:04:13,1,10,03:52.2,211.2,Running 
46,1,21,AF Corse,S. MANN / J. PIGUET / U. DE PAUW,Ferrari 488 GTE Evo,LMGTE Am,M,12,01:04:19,0,11,03:54.8,208.9,Running 
47,1,100,Walkenhorst Motorsport,C. HULL / A. HARYANTO / J. SEGAL,Ferrari 488 GTE Evo,LMGTE Am,M,12,01:04:29,1,11,03:54.7,209,Running 
48,1,74,Kessel Racing,K. COZZOLINO / Y. TSUJIKO / N. YOKOMIZO,Ferrari 488 GTE Evo,LMGTE Am,M,12,01:04:29,1,10,03:54.9,208.9,Running 
49,1,85,Iron Dames,S. BOVY / M. GATTING / R. FREY,Porsche 911 RSR - 19,LMGTE Am,M,12,01:04:31,1,10,03:54.9,208.9,Running 
50,1,25,ORT by TF,A. AL HARTHY / M. DINAN / C. EASTWOOD,Aston Martin Vantage AMR,LMGTE Am,M,12,01:04:32,1,8,03:53.8,209.8,Running 
51,1,63,Prema Racing,D. PIN / D. KVYAT / M. BORTOLOTTI,Oreca 07 - Gibson,LMP2,G,12,01:04:33,1,10,03:39.9,223.1,Running 
52,1,777,D'Station Racing,S. HOSHINO / C. STEVENSON / T. FUJII,Aston Martin Vantage AMR,LMGTE Am,M,12,01:04:33,1,9,03:55.1,208.6,Running 
53,1,72,TF Sport,A. ROBIN / M. ROBIN / V. HASSE-CLOT,Aston Martin Vantage AMR,LMGTE Am,M,12,01:04:34,1,9,03:55.4,208.4,Running 
54,1,13,Tower Motorsports,S. THOMAS / R. TAYLOR / R. RAST,Oreca 07 - Gibson,LMP2,G,11,00:59:02,1,10,03:39.1,223.9,Running 
55,1,66,JMW Motorsport,T. NEUBAUER / L. PRETTE / G. PETROBELLI,Ferrari 488 GTE Evo,LMGTE Am,M,11,01:00:20,0,8,03:53.1,210.5,Running 
56,1,55,GMB Motorsport,G. BIRCH / M. SØRENSEN/ J. MØLLER,Aston Martin Vantage AMR,LMGTE Am,M,11,01:00:59,1,8,03:58.2,205.9,Running 
57,1,77,Dempsey - Proton Racing,C. RIED / M. PEDERSEN / J. ANDLAUER,Porsche 911 RSR - 19,LMGTE Am,M,11,01:00:59,1,10,04:00.3,204.1,Running 
